location,bhk,total_sqft,bath,price,sqft_per_bedroom
Vijaya Bank Layout,3,1374.0,2.0,70.0,458.0
Judicial Layout,3,1700.0,3.0,155.0,566.6666666666666
Whitefield,5,3227.0,5.0,250.0,645.4
Ferrar Nagar,4,2145.0,4.0,125.0,536.25
Koramangala,4,2400.0,6.0,600.0,600.0
Kasavanhalli,3,2170.0,3.0,151.0,723.3333333333334
Bank Of Baroda Colony,2,1080.0,2.0,55.0,540.0
Electronic City Phase II,3,1790.0,3.0,100.0,596.6666666666666
Doddathoguru,1,550.0,1.0,17.0,550.0
Poorna Pragna Layout,3,1270.0,2.0,50.79,423.3333333333333
Somasundara Palya,2,1033.0,2.0,48.0,516.5
Kamala Nagar,2,1000.0,2.0,80.0,500.0
Binny Pete,4,2940.0,6.0,280.0,735.0
Kumarapalli,2,1240.0,2.0,52.6,620.0
Kasturi Nagar,5,1650.0,5.0,450.0,330.0
Kambipura,2,883.0,2.0,39.0,441.5
Outer Ring Road East,3,1500.0,2.0,97.0,500.0
Marathahalli,3,1730.0,3.0,139.0,576.6666666666666
Kasavanhalli,3,1915.0,3.0,80.0,638.3333333333334
Whitefield,3,1545.0,3.0,79.0,515.0
Marenahalli,3,1865.0,4.0,140.0,621.6666666666666
Hebbal Kempapura,2,1150.0,2.0,40.0,575.0
HAL 3rd Stage,2,1200.0,2.0,49.0,600.0
Kengeri,2,963.0,2.0,40.0,481.5
Marsur,3,1200.0,3.0,120.0,400.0
Basavangudi,4,2600.0,4.0,260.0,650.0
Kaikondrahalli,4,1700.0,4.0,108.0,425.0
Lingadheeranahalli,3,1682.0,3.0,120.0,560.6666666666666
Yelahanka,3,1371.0,2.0,65.0,457.0
Hennur Road,2,901.0,2.0,49.5,450.5
Vishwapriya Layout,7,600.0,7.0,73.0,85.71428571428571
Ambalipura,3,1730.0,3.0,120.0,576.6666666666666
Konanakunte,4,1200.0,4.0,125.0,300.0
EPIP Zone,3,1500.0,3.0,102.0,500.0
Sarjapur  Road,4,3785.0,6.0,280.0,946.25
Nagawara Junction,4,3500.0,4.0,245.0,875.0
Lingarajapuram,2,1203.0,2.0,59.86,601.5
Horamavu Banaswadi,2,1357.0,2.0,54.0,678.5
Vasantha Vallabha Nagar,3,1600.0,3.0,76.0,533.3333333333334
Yelahanka New Town,1,350.0,1.0,13.5,350.0
Varthur,3,1665.0,3.0,53.0,555.0
Ramamurthy Nagar,3,1400.0,3.0,200.0,466.6666666666667
Sarjapur  Road,1,835.0,1.0,46.95,835.0
Chandra Layout,2,815.0,3.0,160.0,407.5
Haralur Road,3,1444.0,2.0,80.0,481.3333333333333
Kanakapura,2,1277.0,2.0,55.0,638.5
Lingadheeranahalli,3,1521.0,3.0,94.71,507.0
Maithri Layout,2,1134.0,2.0,40.0,567.0
Vasanthapura,2,995.0,2.0,34.82,497.5
Old Madras Road,3,2760.0,5.0,157.0,920.0
Marathahalli,2,1325.0,1.0,92.0,662.5
Kothanur,6,4000.0,6.0,150.0,666.6666666666666
Marathahalli,3,1525.0,3.0,90.0,508.3333333333333
Raja Rajeshwari Nagar 5th Stage,3,1320.0,2.0,73.0,440.0
Electronics City Phase 1,1,650.0,1.0,23.0,650.0
Old Airport Road,3,1858.0,2.0,167.0,619.3333333333334
Electronic City,2,1150.0,2.0,38.0,575.0
Electronic City Phase II,2,769.0,2.0,40.0,384.5
Electronic City,3,1571.0,3.0,105.0,523.6666666666666
Hennur Road,3,1445.0,3.0,86.56,481.6666666666667
Hosur Road,3,1590.0,2.0,135.0,530.0
Bommasandra,2,902.0,2.0,49.0,451.0
Sarjapur,3,2238.0,3.0,140.0,746.0
Electronic City,2,1090.0,2.0,31.49,545.0
Yelahanka,3,1712.0,3.0,82.0,570.6666666666666
Haralur Road,2,1088.0,2.0,68.0,544.0
Somasundara Palya,3,1575.0,3.0,63.1,525.0
Nanjappa Garden,6,2150.0,6.0,205.0,358.3333333333333
Kundalahalli,3,1920.0,3.0,150.0,640.0
Margondanahalli,2,1000.0,2.0,57.0,500.0
Chennammana Kere,2,1100.0,2.0,56.1,550.0
Electronic City,2,1089.0,2.0,45.0,544.5
Horamavu Agara,2,1106.0,2.0,43.09,553.0
Kengeri,2,927.0,2.0,37.0,463.5
Kanakpura Road,2,1339.0,2.0,58.0,669.5
Thanisandra,1,923.0,1.0,45.69,923.0
Sarjapur  Road,3,2900.0,3.0,285.0,966.6666666666666
Lakshminarayana Pura,2,1175.0,2.0,75.0,587.5
Thubarahalli,2,975.0,2.0,55.0,487.5
Hebbal,3,2400.0,4.0,180.0,800.0
Subramanyapura,3,1330.0,3.0,72.0,443.3333333333333
Thanisandra,2,1183.0,2.0,59.74,591.5
Harlur,3,1758.0,3.0,133.0,586.0
Nagarbhavi,3,1200.0,3.0,265.0,400.0
Hebbal,3,1255.0,2.0,77.68,418.3333333333333
Nagadevanahalli,3,600.0,4.0,110.0,200.0
Pai Layout,2,1100.0,2.0,50.0,550.0
Ramamurthy Nagar,2,1170.0,2.0,46.8,585.0
Vayunandana Layout,5,2400.0,5.0,120.0,480.0
Raja Rajeshwari Nagar,3,1530.0,3.0,51.77,510.0
Hebbal,2,1420.0,2.0,107.0,710.0
Geetanjali Layout,4,1200.0,4.0,300.0,300.0
7th Phase JP Nagar,6,1045.0,6.0,160.0,174.16666666666666
Kanakpura Road,3,1591.0,3.0,115.0,530.3333333333334
7th Phase JP Nagar,3,1680.0,3.0,120.0,560.0
Kenchenhalli,2,675.0,3.0,52.0,337.5
Hoodi,2,1055.0,2.0,57.63,527.5
Iblur Village,3,1918.0,3.0,129.0,639.3333333333334
Sarjapur  Road,2,1280.0,2.0,76.0,640.0
Nagarbhavi,3,1560.0,3.0,66.0,520.0
Sarjapur  Road,2,1145.0,2.0,49.5,572.5
Talaghattapura,3,2106.0,3.0,126.0,702.0
"EPIP AREA, WHITEFIELD",3,1801.0,3.0,139.0,600.3333333333334
Seegehalli,5,1200.0,5.0,120.0,240.0
Rajaji Nagar,2,1718.0,3.0,288.0,859.0
Whitefield,3,1306.0,3.0,54.65,435.3333333333333
Hebbal,2,1320.0,2.0,92.0,660.0
1st Stage Domlur,3,1350.0,2.0,65.0,450.0
"RMV extension stage 2, rmv extension",4,2990.0,4.0,324.0,747.5
Kalyan nagar,4,3800.0,5.0,300.0,950.0
Bannerghatta Road,3,1344.0,2.0,42.0,448.0
Bannerghatta Road,3,1893.0,3.0,100.0,631.0
Chandapura,3,1107.0,2.0,43.0,369.0
R.T. Nagar,9,1200.0,10.0,180.0,133.33333333333334
Lakshminarayana Pura,2,1190.0,2.0,75.0,595.0
Whitefield,2,1000.0,2.0,35.0,500.0
Kalhalli,2,2400.0,2.0,160.0,1200.0
Kumaraswami Layout,2,1000.0,2.0,48.5,500.0
Jalahalli,3,2113.0,3.0,155.0,704.3333333333334
KR Puram,2,1100.0,2.0,46.0,550.0
Sector 2 HSR Layout,5,1200.0,4.0,160.0,240.0
Harlur,4,1884.0,4.0,120.0,471.0
Electronic City,2,1110.0,2.0,40.0,555.0
Kudlu,2,1027.0,2.0,43.0,513.5
Tavarekere,3,1250.0,3.0,40.0,416.6666666666667
Sarjapur  Road,3,1470.0,3.0,62.0,490.0
Kamakshipalya,2,1150.0,2.0,75.0,575.0
Hadosiddapura,3,1200.0,3.0,165.0,400.0
Kudlu Gate,1,703.0,1.0,52.0,703.0
Vijaya Bank Colony,3,1400.0,2.0,62.0,466.6666666666667
Bellandur,2,1195.0,2.0,51.0,597.5
Narayanapura,2,1302.0,2.0,69.1,651.0
Begur Road,3,1583.0,3.0,74.4,527.6666666666666
Kumarapalli,3,1488.0,2.0,60.0,496.0
Lakshmi Layout,4,600.0,5.0,85.0,150.0
Kammasandra,3,1385.0,2.0,34.63,461.6666666666667
Whitefield,4,3262.0,4.0,260.0,815.5
Electronic City,3,1600.0,3.0,104.0,533.3333333333334
Old Airport Road,2,1150.0,2.0,90.0,575.0
Lakkasandra,9,4500.0,9.0,166.0,500.0
Sarjapur  Road,2,1263.0,2.0,78.0,631.5
KR Puram,7,1200.0,8.0,110.0,171.42857142857142
Kanakpura Road,2,1299.0,2.0,85.0,649.5
Banashankari,2,1330.0,2.0,78.0,665.0
Devanahalli,3,1282.0,2.0,52.43,427.3333333333333
"JP Nagar 8th Phase, ",3,1853.0,3.0,82.0,617.6666666666666
Kachanayakanahalli,2,861.0,2.0,35.0,430.5
Bannerghatta Road,3,1600.0,3.0,95.0,533.3333333333334
Nagaraja Garden,2,1256.0,2.0,62.8,628.0
Tejaswini Nagar,3,1390.0,2.0,80.0,463.3333333333333
Ashwath Nagar,3,1550.0,2.0,90.0,516.6666666666666
1 Annasandrapalya,11,1200.0,6.0,150.0,109.0909090909091
Hebbal,2,919.0,2.0,49.0,459.5
Margondanahalli,3,1625.0,3.0,80.0,541.6666666666666
Gunjur,2,1195.0,2.0,44.0,597.5
Domlur,6,2400.0,4.0,600.0,400.0
Yelenahalli,2,1159.0,2.0,60.0,579.5
Whitefield,3,1386.0,3.0,57.46,462.0
Harlur,2,1197.0,2.0,79.0,598.5
Old Airport Road,4,2690.0,4.0,191.0,672.5
Bommasandra,3,1295.0,2.0,50.28,431.6666666666667
Huskur,3,1310.0,2.0,37.83,436.6666666666667
Whitefield,2,1132.0,2.0,79.28,566.0
6th block Koramangala,3,2350.0,3.0,400.0,783.3333333333334
4th Block Koramangala,4,2400.0,4.0,500.0,600.0
Hebbal,3,1645.0,3.0,135.0,548.3333333333334
Whitefield,2,1200.0,2.0,45.84,600.0
Whitefield,4,3000.0,4.0,330.0,750.0
Marathahalli,3,1937.0,3.0,140.0,645.6666666666666
Doddathoguru,2,1015.0,2.0,33.5,507.5
Nagadevanahalli,2,1080.0,2.0,39.0,540.0
Kathriguppe,3,1350.0,2.0,80.99,450.0
Kengeri Satellite Town,3,1149.0,2.0,29.0,383.0
Kothanur,2,1185.0,2.0,59.0,592.5
Domlur,3,1720.0,3.0,135.0,573.3333333333334
Hebbal,3,2080.0,3.0,175.0,693.3333333333334
Tindlu,3,1500.0,3.0,87.0,500.0
Yelahanka,3,1566.0,3.0,97.0,522.0
Rajaji Nagar,3,2386.0,3.0,334.0,795.3333333333334
KSRTC Layout,4,1500.0,4.0,110.0,375.0
KR Puram,2,1290.0,2.0,49.02,645.0
"JP nagar 9th Phase, ",3,1531.0,3.0,72.0,510.3333333333333
Keshava Nagar,3,1839.0,3.0,165.0,613.0
Dollars Layout,4,4200.0,4.0,760.0,1050.0
Electronic City Phase II,3,1400.0,2.0,40.43,466.6666666666667
Electronic City,2,550.0,1.0,15.0,275.0
Whitefield,2,1140.0,2.0,39.0,570.0
Tumkur Road,3,1343.5,3.0,57.76,447.8333333333333
Banashankari Stage III,4,2000.0,4.0,100.0,500.0
Kaval Byrasandra,2,1100.0,2.0,46.0,550.0
Vignana Nagar,2,1200.0,2.0,55.0,600.0
Bannerghatta,3,1618.0,3.0,68.0,539.3333333333334
Whitefield,4,2830.0,5.0,160.0,707.5
Uttarahalli,3,1315.0,2.0,74.0,438.3333333333333
Anandapura,2,1141.0,2.0,42.75,570.5
AECS Layout,2,1080.0,2.0,55.0,540.0
HBR Layout,2,1200.0,2.0,60.0,600.0
Varthur,2,1111.0,2.0,41.88,555.5
NGR Layout,2,1022.0,2.0,45.9,511.0
Bannerghatta Road,2,1275.0,2.0,65.0,637.5
4th Block Jayanagar,2,900.0,2.0,70.0,450.0
Rachenahalli,2,1224.0,2.0,39.2,612.0
Battarahalli,2,1135.0,2.0,43.0,567.5
Rachenahalli,2,1050.0,2.0,52.1,525.0
Kudlu Gate,3,1535.0,3.0,86.0,511.6666666666667
Nagavarapalya,2,1392.0,2.0,130.0,696.0
Bellandur,2,1050.0,2.0,72.0,525.0
Hosa Road,3,1513.0,3.0,103.0,504.3333333333333
Gottigere,3,1621.0,3.0,72.0,540.3333333333334
Bannerghatta Road,2,892.0,2.0,39.0,446.0
Whitefield,2,1205.0,2.0,40.0,602.5
Hebbal,3,1355.0,3.0,83.87,451.6666666666667
2nd Block Hrbr Layout,5,1250.0,5.0,300.0,250.0
Kuvempu Nagar,7,1650.0,9.0,345.0,235.71428571428572
Karnataka Shabarimala,4,1200.0,6.0,70.0,300.0
Indira Nagar,2,1400.0,2.0,168.0,700.0
Kengeri,2,726.0,2.0,35.0,363.0
Singena Agrahara,3,1500.0,3.0,149.0,500.0
Hebbal,4,3895.0,4.0,405.0,973.75
Horamavu Agara,2,1079.0,2.0,41.0,539.5
Begur Road,2,1170.0,2.0,46.0,585.0
Doddathoguru,2,1104.0,2.0,39.0,552.0
Kanakpura Road,2,950.0,2.0,45.0,475.0
Hormavu,4,4818.0,4.0,390.0,1204.5
Canara Bank Colony,3,1650.0,2.0,52.0,550.0
Kogilu,3,1559.0,3.0,127.0,519.6666666666666
Hanumagiri,2,1100.0,2.0,38.0,550.0
Benson Town,3,1750.0,3.0,150.0,583.3333333333334
Ramagondanahalli,2,1215.0,2.0,45.5,607.5
Talaghattapura,3,1868.0,3.0,135.0,622.6666666666666
Electronic City,2,1130.0,2.0,32.63,565.0
Kanakpura Road,3,1570.0,3.0,64.5,523.3333333333334
Sarjapur  Road,3,1691.0,3.0,98.0,563.6666666666666
Ardendale,5,4355.0,3.0,350.0,871.0
Hulimavu,2,1225.0,2.0,55.0,612.5
JP Nagar,3,1690.0,3.0,112.0,563.3333333333334
Thigalarapalya,2,1418.0,2.0,103.0,709.0
Kasturi Nagar,4,1896.0,3.0,125.0,474.0
Sonnenahalli,1,605.0,1.0,40.0,605.0
Begur Road,5,800.0,5.0,95.0,160.0
Electronic City Phase II,2,900.0,2.0,32.5,450.0
Cholanayakanahalli,1,750.0,2.0,50.0,750.0
Hoodi,3,780.0,3.0,62.0,260.0
Ananth Nagar,2,908.0,2.0,26.0,454.0
Sarjapur  Road,4,3416.5,6.0,143.0,854.125
Thanisandra,4,3216.0,4.0,226.0,804.0
BEML Layout,5,2400.0,4.0,225.0,480.0
Iblur Village,2,1400.0,2.0,68.0,700.0
Kudlu,2,1092.0,2.0,44.0,546.0
Hulimavu,2,1255.0,2.0,74.0,627.5
Electronic City,3,1500.0,2.0,100.0,500.0
Thanisandra,2,1296.0,2.0,72.0,648.0
Horamavu Banaswadi,2,925.0,2.0,38.0,462.5
Raja Rajeshwari Nagar,2,1023.0,2.0,42.0,511.5
Seshadripuram,2,600.0,3.0,75.0,300.0
Thanisandra,2,1020.0,2.0,44.5,510.0
Choodasandra,3,1530.0,3.0,77.0,510.0
Gubbalala,3,1650.0,3.0,71.0,550.0
Vijaya Bank Layout,3,1605.0,2.0,85.0,535.0
Hosakerehalli,2,1925.0,2.0,50.0,962.5
Kogilu,2,1190.0,2.0,50.66,595.0
Jakkur,3,1374.0,3.0,68.0,458.0
6th Phase JP Nagar,2,1140.0,2.0,65.0,570.0
Green Glen Layout,3,1725.0,3.0,130.0,575.0
Bisuvanahalli,3,1075.0,2.0,50.0,358.3333333333333
Kannamangala,3,1574.0,3.0,93.34,524.6666666666666
Sanjay nagar,1,965.0,1.0,32.0,965.0
Marathahalli,3,1550.0,3.0,83.0,516.6666666666666
Akshayanagara West,2,1205.0,2.0,60.0,602.5
Kambipura,3,1082.0,2.0,55.0,360.6666666666667
Uttarahalli,3,1215.0,2.0,52.85,405.0
Hebbal,4,2483.0,5.0,230.0,620.75
Prasanth Extension,2,1200.0,3.0,46.14,600.0
Chikkathoguru,1,1500.0,1.0,19.5,1500.0
1st Block Koramangala,4,2360.0,4.0,600.0,590.0
Ardendale,4,3198.0,4.0,250.0,799.5
Kanakpura Road,3,1452.0,3.0,60.98,484.0
Electronic City Phase II,3,1329.0,2.0,41.0,443.0
Doctors Layout,2,1125.0,2.0,44.0,562.5
Anand nagar,2,1200.0,2.0,70.0,600.0
Sarjapur  Road,3,1350.0,3.0,39.97,450.0
Uttarahalli,3,1312.5,3.0,51.19,437.5
Hebbal,3,2600.0,3.0,195.0,866.6666666666666
West of Chord Road,2,1200.0,2.0,160.0,600.0
Electronic City Phase II,3,1220.0,3.0,35.23,406.6666666666667
Pai Layout,2,1255.0,2.0,80.0,627.5
Keshava Nagar,3,1904.0,3.0,155.0,634.6666666666666
Somasundara Palya,2,1329.0,2.0,70.0,664.5
Chandapura,2,1200.0,2.0,60.0,600.0
Murugeshpalya,3,2135.0,3.0,160.0,711.6666666666666
Ramakrishnappa Layout,3,2770.0,4.0,315.0,923.3333333333334
"Hoodi Circle, ",1,813.0,1.0,39.0,813.0
Junnasandra,4,3884.0,4.0,240.0,971.0
Doddaballapur,3,3876.0,3.0,300.0,1292.0
Kalena Agrahara,2,800.0,2.0,30.0,400.0
Handenahalli,4,4750.0,2.0,120.0,1187.5
Hormavu,3,1500.0,3.0,70.0,500.0
Bannerghatta Road,3,1880.0,3.0,95.0,626.6666666666666
Electronic City,3,1440.0,2.0,55.0,480.0
Akshaya Nagar,3,1575.0,3.0,90.0,525.0
Banagiri Nagar,3,1630.0,2.0,97.78,543.3333333333334
Yelahanka,3,1180.0,3.0,55.0,393.3333333333333
Nagadevanahalli,2,1090.0,2.0,36.0,545.0
NGR Layout,2,1020.0,2.0,48.45,510.0
"Sarjapur Road, ",4,2425.0,4.0,173.0,606.25
Varthur,2,1097.0,2.0,33.82,548.5
Raja Rajeshwari Nagar,2,1070.0,2.0,50.0,535.0
Kumaraswami Layout,2,1000.0,2.0,58.0,500.0
Hoodi,8,1120.0,8.0,150.0,140.0
manyata tech park,2,1150.0,2.0,56.0,575.0
Frazer Town,3,1900.0,4.0,145.0,633.3333333333334
Divya Unnathi Layout,2,1141.0,2.0,49.0,570.5
Jigani,2,937.0,2.0,44.0,468.5
Green Glen Layout,2,1075.0,2.0,60.0,537.5
Panathur,2,1000.0,2.0,65.3,500.0
Kasavanhalli,3,1450.0,3.0,77.41,483.3333333333333
Yelachenahalli,5,897.0,2.0,85.0,179.4
Ashwathnagar,2,936.0,2.0,43.0,468.0
Gopalkrishna Nagar,2,1280.0,2.0,75.0,640.0
Babusapalaya,2,1050.0,2.0,45.0,525.0
Marathahalli,2,1350.0,2.0,86.0,675.0
Mallasandra,2,1325.0,2.0,70.0,662.5
Devanahalli,2,1174.0,2.0,59.0,587.0
Hosur Road,3,1890.0,3.0,162.0,630.0
Wilson Garden,1,735.0,1.0,75.0,735.0
Sarvabhouma Nagar,1,500.0,1.0,24.0,500.0
Gottigere,3,1304.0,3.0,80.0,434.6666666666667
Yelahanka,3,1653.0,3.0,120.0,551.0
Bisuvanahalli,3,1075.0,2.0,52.0,358.3333333333333
7th Phase JP Nagar,2,1212.0,3.0,42.0,606.0
Hoysalanagar,2,1100.0,2.0,50.0,550.0
Rajaji Nagar,4,3436.0,6.0,500.0,859.0
SMV layout,3,1200.0,4.0,145.0,400.0
Billekahalli,2,1140.0,2.0,50.0,570.0
Roopena Agrahara,2,1200.0,2.0,100.0,600.0
Kudlu Gate,3,1532.0,3.0,83.0,510.6666666666667
Doddaballapur,3,2776.0,4.0,195.0,925.3333333333334
Padmanabhanagar,3,1531.0,2.0,75.0,510.3333333333333
Poorna Pragna Layout,3,1270.0,2.0,50.79,423.3333333333333
Uttarahalli,2,1325.0,2.0,53.0,662.5
CQAL LAYOUT C BLOCK,3,1200.0,3.0,160.0,400.0
Electronic City,3,1156.0,2.0,44.0,385.3333333333333
R.T. Nagar,4,2000.0,4.0,320.0,500.0
Bannerghatta Road,2,1260.0,2.0,70.0,630.0
Vittasandra,2,1934.0,2.0,90.0,967.0
Malleshpalya,2,1060.0,2.0,40.0,530.0
Kasavanhalli,3,1476.0,3.0,95.0,492.0
Murugeshpalya,2,1185.0,2.0,85.0,592.5
Channasandra Layout,3,1265.0,2.0,82.0,421.6666666666667
"Near Electronic City, ",4,3200.0,5.0,150.0,800.0
Virat Nagar,2,1196.0,2.0,56.81,598.0
EPIP Zone,2,1280.0,2.0,69.0,640.0
Marathahalli,4,800.0,4.0,86.0,200.0
Hulimavu,2,1175.0,2.0,45.0,587.5
Kacharakanahalli,3,1850.0,3.0,98.0,616.6666666666666
Indira Nagar,4,2400.0,4.0,525.0,600.0
Whitefield,2,1195.0,2.0,70.0,597.5
Ulsoor,3,2000.0,3.0,185.0,666.6666666666666
Veerannapalya,7,600.0,4.0,100.0,85.71428571428571
Hebbal Kempapura,4,800.0,5.0,155.0,200.0
Hosur Road,2,1180.0,2.0,36.5,590.0
Jakkur,2,1050.0,2.0,49.87,525.0
Electronic City,3,1400.0,2.0,40.44,466.6666666666667
Bagalakunte,4,2360.0,4.0,150.0,590.0
Banashankari stage 2,2,1030.0,2.0,77.25,515.0
Doddanakundi Industrial Area 2,2,1512.0,1.0,65.01,756.0
Subramanyapura,2,929.0,2.0,48.0,464.5
Jigani,3,1252.0,3.0,61.0,417.3333333333333
Green Glen Layout,3,1485.0,3.0,115.0,495.0
Electronics City Phase 1,3,1124.0,2.0,55.0,374.6666666666667
TC Palaya,6,2400.0,6.0,370.0,400.0
Indira Nagar,3,1407.0,3.0,120.0,469.0
Hennur Road,3,1482.0,2.0,97.0,494.0
Sector 7 HSR Layout,2,1163.0,2.0,98.86,581.5
Jalahalli,3,1570.0,3.0,140.0,523.3333333333334
Whitefield,3,3480.0,4.0,284.0,1160.0
Chandapura,1,520.0,1.0,14.04,520.0
OLd Gurappanapalya,3,2000.0,3.0,160.0,666.6666666666666
Prithvi Layout,2,1352.0,2.0,75.0,676.0
Electronic City,2,1152.0,2.0,65.0,576.0
"ECC Road, Whitefield, ",3,1575.0,3.0,93.0,525.0
Hegde Nagar,3,1965.0,4.0,125.0,655.0
Ramanjaneyanagar,3,1300.0,2.0,70.0,433.3333333333333
Sarjapur  Road,4,1.0,4.0,120.0,0.25
Marathahalli,2,957.0,2.0,47.0,478.5
Hoskote,3,1740.0,3.0,60.0,580.0
Kanakpura Road,5,1080.0,6.0,65.0,216.0
Neeladri Nagar,2,1060.0,2.0,35.0,530.0
Chikkadunnasandra,2,975.0,2.0,50.0,487.5
Ramamurthy Nagar,2,1150.0,2.0,51.0,575.0
Whitefield,3,1738.0,2.0,79.0,579.3333333333334
Bommanahalli,3,1250.0,3.0,55.0,416.6666666666667
Bannerghatta Road,3,1788.0,3.0,90.0,596.0
Kanakapura,2,1151.0,2.0,59.0,575.5
Uttarahalli,3,1300.0,2.0,60.0,433.3333333333333
Garudachar Palya,2,1150.0,2.0,52.8,575.0
Akshya Nagar,2,1380.0,2.0,75.0,690.0
Hebbal,3,1645.0,3.0,117.0,548.3333333333334
Babusapalaya,2,1141.0,2.0,45.9,570.5
7th Phase JP Nagar,2,1175.0,2.0,82.5,587.5
Banashankari Stage V,3,1355.0,2.0,61.0,451.6666666666667
Dasarahalli,2,1150.0,2.0,70.0,575.0
Indranagar  100ft road defence colony,5,5800.0,5.0,80.0,1160.0
Canara Bank Colony,2,1000.0,2.0,45.0,500.0
Balagere,2,1007.0,2.0,65.0,503.5
Wajid layout thanisandra,4,3000.0,5.0,100.0,750.0
Kothanur,3,1436.0,3.0,70.0,478.6666666666667
Marathahalli,4,4000.0,4.0,220.0,1000.0
Somasundara Palya,3,2372.0,3.0,140.0,790.6666666666666
R.T. Nagar,6,1500.0,6.0,240.0,250.0
Rajaji Nagar,2,1200.0,2.0,150.0,600.0
Rayasandra,2,1016.0,2.0,58.0,508.0
Dodda Nekkundi,2,1100.0,2.0,48.0,550.0
B Channasandra,2,1080.0,2.0,45.0,540.0
Electronic City,2,1070.0,2.0,60.0,535.0
Kadubeesanahalli,3,1532.0,3.0,115.0,510.6666666666667
Hennur,2,1040.0,2.0,42.12,520.0
Laxmi Sagar Layout,3,3100.0,3.0,250.0,1033.3333333333333
Tumkur Road,2,1137.5,2.0,48.905,568.75
Thanisandra,3,1430.0,2.0,51.6,476.6666666666667
Rajaji Nagar,2,1160.0,1.0,163.0,580.0
ITPL,4,3262.0,5.0,205.0,815.5
Achins Road,7,2100.0,7.0,410.0,300.0
Uvce Layout,2,1190.0,2.0,100.0,595.0
Panduranga Nagar,3,1827.0,3.0,100.0,609.0
HRBR Layout,2,1210.0,2.0,75.0,605.0
New Thippasandra,3,1500.0,3.0,95.0,500.0
Rachenahalli,2,1050.0,2.0,53.5,525.0
Hebbal,2,1251.0,2.0,88.73,625.5
HSR Layout,3,1600.0,2.0,115.0,533.3333333333334
Electronic City,2,1128.0,2.0,65.5,564.0
Budigere,3,1820.0,3.0,93.0,606.6666666666666
Thigalarapalya,3,2072.0,4.0,159.0,690.6666666666666
Raja Rajeshwari Nagar,3,1510.0,2.0,59.0,503.3333333333333
Hoodi,3,1925.0,2.0,114.0,641.6666666666666
Hennur Road,3,2651.0,2.0,225.0,883.6666666666666
Thigalarapalya,3,2072.0,4.0,147.0,690.6666666666666
Kumaraswami Layout,2,1000.0,2.0,36.0,500.0
KR Puram,3,1752.0,3.0,145.0,584.0
Sahakara Nagar,2,960.0,2.0,56.0,480.0
Gattigere,2,1180.0,2.0,63.0,590.0
Benson Town,3,2270.0,3.0,180.0,756.6666666666666
NRI Layout,2,650.0,2.0,59.0,325.0
Lakshminarayana Pura,2,1200.0,2.0,75.0,600.0
Bisuvanahalli,3,1180.0,2.0,46.0,393.3333333333333
Roopena Agrahara,3,1300.0,3.0,47.0,433.3333333333333
Bannerghatta Road,2,1157.0,2.0,40.0,578.5
Kanakpura Road,3,1300.0,3.0,69.0,433.3333333333333
Banashankari Stage III,3,1305.0,2.0,59.0,435.0
Hegde Nagar,3,2006.0,4.0,196.0,668.6666666666666
Jakkur,2,1290.0,2.0,80.0,645.0
Hoskote,2,1170.0,2.0,45.0,585.0
Cottonpet,4,971.0,2.0,135.0,242.75
Yelachenahalli,2,1400.0,2.0,78.0,700.0
Lakshminarayana Pura,2,1200.0,2.0,75.0,600.0
Kamakshipalya,3,1155.0,2.0,60.0,385.0
Hormavu,3,1725.0,3.0,85.0,575.0
Kanakpura Road,2,700.0,2.0,40.0,350.0
Yemlur,4,7000.0,5.0,2050.0,1750.0
Hoodi,2,1112.0,2.0,88.0,556.0
Somasundara Palya,2,1178.0,2.0,78.0,589.0
Badavala Nagar,2,1274.0,2.0,81.0,637.0
Doddathoguru,2,915.0,2.0,32.0,457.5
6th Phase JP Nagar,8,1650.0,6.0,135.0,206.25
Hosur Road,1,760.0,1.0,21.28,760.0
Maragondanahalli,3,1540.0,3.0,68.0,513.3333333333334
P&T Layout,2,1206.0,2.0,38.5,603.0
Basavanna Nagar,3,1645.0,3.0,95.0,548.3333333333334
Canara Bank Layout,4,1200.0,4.0,170.0,300.0
singapura paradise,4,1200.0,4.0,140.0,300.0
Nehru Nagar,4,2342.0,3.0,115.0,585.5
Kannur,3,1200.0,2.0,55.0,400.0
Yelenahalli,2,1056.0,2.0,33.0,528.0
Raja Rajeshwari Nagar,8,4800.0,8.0,225.0,600.0
Kanakpura Road,3,1450.0,3.0,54.3,483.3333333333333
Thirumenahalli,2,1161.0,2.0,36.69,580.5
Dollars Colony,2,1097.0,2.0,65.0,548.5
Uttarahalli,2,850.0,2.0,35.0,425.0
Green Glen Layout,3,1715.0,3.0,115.0,571.6666666666666
Basavangudi,3,2300.0,3.0,317.0,766.6666666666666
Electronic City,2,1200.0,2.0,59.0,600.0
8th Phase JP Nagar,2,1080.0,2.0,38.0,540.0
Kasavanhalli,2,1200.0,2.0,50.3,600.0
4th Block Koramangala,4,2400.0,4.0,550.0,600.0
Banashankari,3,1400.0,2.0,78.0,466.6666666666667
Whitefield,4,1500.0,4.0,200.0,375.0
Kanakpura Road,1,458.0,1.0,19.695,458.0
Marathahalli,2,1230.0,2.0,57.0,615.0
Kalyan nagar,3,1640.0,3.0,88.0,546.6666666666666
Banashankari,3,1700.0,3.0,125.0,566.6666666666666
Bommasandra,3,1478.0,2.0,44.0,492.6666666666667
